titles,intros,genres
멸망하는세계의테이머,세계가멸망하기시작했다가족을지켜야한다각성하셨습니다내눙력이테이밍이라고,판타지현대판타지
신창회귀,이몸으로는회귀해도소용없을걸요중원전역에재난이꼬리를무는난세였다기를느낄수없는삼류무인인내가뭘해도바뀌는것은없었다그리고가족이라믿었던큰형님이배신했다가문의장원은불타올랐고가족들은몰살당했다회귀를하기는할텐데내공내공이있어야한다,무협
우리길드대환장파티,우리길드에는회귀자환생자귀환자가있다이길드에정상인은존재하지않는다,판타지퓨전
마스터,세상천지에의지할곳하나없는천재소년강민그의치열한생존투쟁기설악산사기꾼양도사에게낚인년의세월비를눈물삼아밥말아먹었던순수했던영혼강민이강남한복판으로나왔다그가펼쳐내는한편의대장편드라마럭셔리마이라이프를위해대한민국최고명문고등학교에입학하게되는데돈명예사랑다내거야옵션으로가늘고길게살다가겠어내앞을막아서는모든걸부숴버릴거야이글이글타오르는강민의눈빛행복과고통이교차하는정해지지않은고난의행군그미래속에서소년강민의거침없는발걸음이당당하게세상을향해전진하다절대자의이름마스터라불리며,판타지스포츠
불온한계약연애,푸드의계약직원우지원의정체는한때국민여동생이라불리던아역배우우예린이었다아무도자신을몰라야했고누구에게도알리고싶지않았다그런데지금처럼그렇게계속살고싶습니까그룹의후계자인장재헌이어떻게나를아는거지내손을잡아요도와줄게요저는다시연기자가되고싶지않다는말이면하지말아요거짓말이란거다아니까그의말을부정할수없었다다시꿈을꿀수있다면일단내옆에서가짜애인연기부터해봐요그의곁에서기로했다키스합시다전에연기할때해봤을테니잘할수있죠아뇨저기그게맞아당신아역배우출신이죠그럼키스신은처음인가당혹감에다소상기되어열이나기시작한뺨위를서늘한손이뒤덮었다엄지가뺨을간질이고긴손가락이귓바퀴를스치고목덜미를문질렀다그럼첫키스신이네,로맨스
내가용왕에게사랑을가르,선대왕들처럼시름시름앓다가죽을순없어서직접토끼를잡으러뭍으로올라온용왕태휘태휘는겨우찾은토끼인고반이의마음을사로잡기위해연애에빠삭해보이는티나에게도움을청하게된다그런데자꾸티나옆에알짱대는놈들이거슬리고토끼가아닌티나에게눈길이가는이유를모르겠는태휘는혼란스럽기만하고이제태휘에게남은시간은단일그들은무사히토끼를용궁으로데려갈수있을까,로맨스
절대자는스킬빨로독식한다,게임속사기스킬을가진캐릭터가되었다모든이의무릎을꿇리며모든를복종시킬수있고모든스킬을흡수한다내가살아남을수있는방법은이스킬뿐이다사기스킬을이용해게임속세상에서살아남는다,판타지퓨전
선독점엔딩메이커,완벽한해피엔딩을위해,판타지퓨전
천마가보여,무신단월혁이천마의목을벤지이백년의시간이흘렀다천마를되살릴그릇으로마교에납치되어강령의식까지치르게된사무현끔찍한의식도중정신을잃고깨어나보니웬이상한놈이이쪽을향해웃고있다뭐야설마저거진짜천마야준동하는강호에서살아남기위한사무현과속을알수없는천마의고군분투가시작된다,무협
선독점회차기사가살아가는법,지구출신인생회차기사회차와는다르다,판타지퓨전
선독점이세계존버킹생존좌,싱크홀로이세계배틀존에들어간택배기사택배차에가득쌓인물건으로이세계야수들과존버하는단짠단짠생존기,판타지퓨전
선독점정령의경제학,이세계의사람들은모른다정령의가능성을,판타지
선독점재능먹는만능천재,그러니까내가레오나르도다빈치같은사람이될수있다는거지그게게임이든영화든뭐든레오나르도다빈치가누군지모르겠지만그이상도될수있습니다송재익은귓가에들려오는반지의목소리에어이가없는듯웃음을터트렸다아버지도대체저한테뭘주신겁니까,현대판타지퓨전
선독점지상최강의홈런왕,배트를들기전에는몰랐다내가가진재능을회귀빙의환생시스템전부필요없다나는미친재능으로야구한다,스포츠현대판타지
선독점임꺽정은살아있다,저의죗값을걸고염라대왕과내기하여이승으로돌아온임꺽정도로이승을밟았건만팔도를전율케하던그위세는온데간데없이소싯적천둥벌거숭이때로돌아왔다귓가에는염라대왕의비웃음이여전히울리고악문입에는대꾸하듯결의가서린다한낱화적떼우두머리가퍽이나거창하게일컬음을받았구나네가도적질을암만한들어디번듯한서책에이름이나제대로남기겠느냐어디두고봅시다이왕돌아온것내그어떤도적보다도더이름을남기고갈테니천하는양주백정임꺽정이가차라리예사로운도적이었기를바라게되리라,대체역사판타지
선독점각성하고레벨업하고,대한민국공무원이자급초능력자인류이완작전수행중빨려들어간미지의세계능력치가상승한다,판타지퓨전
선독점천재공학자가되었다,몇년전돌아가신할아버지가꿈에나왔다이할애비가저승로또에당첨돼서염라에게재능의두루마리를사왔단다나에게천재공학도의재능이생겼다,현대판타지판타지
선독점검은머리천재감독,부딱망해버린구단으로트레블하기,스포츠현대판타지
선독점필드위의로맨티스트,부리그로온우승청부업자단숨에프리미어리그우승까지노린다,스포츠현대판타지
선독점최소메시가되었다,나이가들고피지컬이저물어가는축구선수노력했음에도성공하지못했다그래서바랬다누구에게도지지않을재능을그래서나는되었다최소메시보얀크르키치가,스포츠
선독점마법중대의천재마법사,죄를사면받기위해마법병이되었는데아무래도마법에재능이있는것같다,판타지퓨전
선독점작가인생회차,억짜리회차보험에가입한인기작가박유성의플렉스한회차인생이야기직업이작가사실은연예물육성엔터현실남매현실연애보험시스템,현대판타지판타지
선독점검은머리미군대원수,년미육군사관학교에최초의한인생도가입학했다,대체역사현대판타지
선독점이혼후파이어볼러,이혼후두번째수술을받았다순식간에나락으로떨어졌다그런데구속이오히려더올라갔다,스포츠현대판타지
선독점자작가문삼남은만능공돌이,뭐든지만들어내는제작전문헌터이계의자작가문삼남으로다시태어난다,판타지퓨전
마음의발걸음이나보다빠,요즘젊은어린친구들을보면사소한일로크게다툽니다어른들은이를보며요즘애들이이상하다고합니다그러나저는그생각에동의하지않습니다요즘애들이특히나빠진게아니라그들은마음을올바로전하는법을배우지못한것뿐이라고생각합니다요즘세대들은상처받기싫어서너무진지해지는게싫어서등다양한이유로마음을올바르게전하려하지않습니다그러나전그들이마음을올바르게전하려고하지않는이유가진심의중요성을그필요성을모르기때문에그렇다고생각합니다다른사람과신뢰관계를구축하는건어려운일입니다그러나쏟아부은정성만큼돌아오는만족감은몇배나더큽니다마음을전하는법은의외로간단하다고생각합니다무작정감정을표현하지않는것내가정말원하는게무엇인지생각해보는것그리고그마음을진실되게전하는것이이야기를통해위세가지를반복적으로접하면서마음을올바르게전하는것의중요성을느낄수있었으면좋겠습니다하늘에서떨어진공주희망이는친구를찾아헤매던이룸이와만난다희망이는감정을느끼지못하는아이로일년전절망의봉인이풀린이후마물에게노려지고있었다실수로봉인을푼당사자인이룸이는희망이를도와사람들의마음을치유하려나선다저주받은공주와축복받은아이가함께하는마음구해내기프로젝트여러분도함께하실래요지브리힐링동화어린왕자디즈니어른아이아동문학메타포상징비유,일반소설
선독점전생하니시어머니가명,취준생김선우후삼국시대로빙의하게되는데하필고려태조왕건의맏며느리가되다,대체역사
